Xbox One Table
Content Title,Content Type,Price (USD)
Home Sweet Home,Xbox One Game,[$17.99](https://www.microsoft.com/en-us/p/home-sweet-home/c4b4k16tjg7z?cid=majornelson)
Indie Bundle – Shiness & Seasons After Fall,Xbox One Game,[$10.00](https://www.microsoft.com/en-us/p/indie-bundle-shiness-and-seasons-after-fall/c0c3qc3j5jx2?cid=majornelson)
Letter Quest/Paranautical Activity Bundle*,Xbox One Game,[$5.00](https://www.microsoft.com/en-us/p/letter-quest-paranautical-activity-bundle/c2jznxrk223k?cid=majornelson)
MXGP3*,Xbox One Game,[$16.00](https://www.microsoft.com/en-us/p/mxgp3/btdhx5z7gl0w?cid=majornelson)
Masters of Anima,Xbox One X Enhanced,[$6.60](https://www.microsoft.com/en-us/p/masters-of-anima/brz0kjf2qz8f?cid=majornelson)
Mega Man X Legacy Collection 1+2 *,Xbox One Game,[$29.99](https://www.microsoft.com/en-us/p/mega-man-x-legacy-collection-1-2/c21cvhmq3zz7?activetab=pivot%3Aoverviewtab&cid=majornelson)
Mega Man X Legacy Collection 2*,Xbox One Game,[$14.99](https://www.microsoft.com/en-us/p/mega-man-x-legacy-collection-2/bntdmdchx2m7?activetab=pivot%3Aoverviewtab&cid=majornelson)
Mega Man X Legacy Collection*,Xbox One Game,[$14.99](https://www.microsoft.com/en-us/p/mega-man-x-legacy-collection/bt07cdvg6z9g?activetab=pivot%3Aoverviewtab&cid=majornelson)
Mordheim: City of the Damned,Xbox One Game,[$10.00+](https://www.microsoft.com/en-us/p/mordheim-city-of-the-damned/c4mxz1c8gddp?cid=majornelson)
Mordheim: City of the Damned – Complete DLC Pack,Xbox One Game,[$6.60](https://www.microsoft.com/en-us/p/mordheim-city-of-the-damned-complete-dlc-pack/c2xsgwkx5174?cid=majornelson)
Mordheim: City of the Damned – Complete Edition,Xbox One Game,[$12.50+](https://www.microsoft.com/en-us/p/mordheim-city-of-the-damned-complete-edition/c2kp3vp1fmwg?cid=majornelson)
Mugsters,Xbox One Game,[$8.99](https://www.microsoft.com/en-us/p/mugsters/bs3x8kwg86lz?cid=majornelson)
"NBA 2K19 15,000 Virtual Currency",Xbox One Game,[$4.49](https://www.microsoft.com/en-us/p/15-000-vc/c57xl1jjxm76?cid=majornelson)
"NBA 2K19 200,000 Virtual Currency",Xbox One Game,[$44.99](https://www.microsoft.com/en-us/p/200-000-vc/brts22bjcwkz?cid=majornelson)
NBA 2K19 20th Anniversary Edition*,Xbox One X Enhanced,[$79.99](https://www.microsoft.com/en-us/p/nba-2k19-20th-anniversary-edition/bp0qxfcfhnp9?cid=majornelson)
"NBA 2K19 35,000 Virtual Currency",Xbox One Game,[$8.99](https://www.microsoft.com/en-us/p/35-000-vc/brt6wc6klqqg?cid=majornelson)
"NBA 2K19 450,000 Virtual Currency",Xbox One Game,[$89.99](https://www.microsoft.com/en-us/p/450-000-vc/c3sdv8bbvd15?cid=majornelson)
"NBA 2K19 5,000 Virtual Currency",Xbox One Game,[$1.79](https://www.microsoft.com/en-us/p/nba-2k19-5-000-vc/bz2z0pzkrqqf?cid=majornelson)
"NBA 2K19 75,000 Virtual Currency",Xbox One Game,[$17.99](https://www.microsoft.com/en-us/p/75-000-vc/c2rvfkxqx156?cid=majornelson)
NBA 2K19*,Xbox One X Enhanced,[$40.19](https://www.microsoft.com/en-us/p/nba-2k19/bnw34b7v705c?cid=majornelson)
Need For Speed Payback – Deluxe Edition*,Xbox One X Enhanced,[$15.00](https://www.microsoft.com/en-us/p/need-for-speed-payback-deluxe-edition/bqsc9gdbdf0v?cid=majornelson)
Need For Speed Payback*,Xbox One X Enhanced,[$12.00](https://www.microsoft.com/en-us/p/need-for-speed-payback/c355t88bbx1s?cid=majornelson)
Paranautical Activity*,Xbox One Game,[$3.00](https://www.microsoft.com/en-us/p/paranautical-activity/btjp2gdqd2nn?cid=majornelson)
R.B.I. Baseball 18,Xbox One Game,[$20.99](https://www.microsoft.com/en-us/p/rbi-baseball-18/bqlf1tjl4hzb?cid=majornelson)
Seasons After Fall,Xbox One Game,[$5.00](https://www.microsoft.com/en-us/store/p/Seasons-after-Fall/BVJRH8WMB3BG?cid=majornelson)
Sherlock Holmes: Crimes and Punishments,Xbox One Game,[$6.00](https://www.microsoft.com/en-us/store/p/Sherlock-Holmes-Crimes-and-Punishments/BXF17DHB5HKB?cid=majornelson)
Shiness: The Lightning Kingdom,Xbox One Game,[$7.50](https://www.microsoft.com/store/p/shiness-the-lightning-kingdom/bsc9dflvjk69?cid=majornelson)
Slayaway Camp: Butcher’s Cut*,Xbox One Game,[$8.50](https://www.microsoft.com/en-us/p/slayaway-camp-butchers-cut/c0xdn3hcccjz?cid=majornelson)
Spintires: MudRunner,Xbox One X Enhanced,[$17.50+](https://www.microsoft.com/en-us/store/p/Spintires-MudRunner/BTSQF5T410C6?cid=majornelson)
